GENERALIZED BORN:
Complex Energy Terms
Frame #,BOND,ANGLE,DIHED,UB,IMP,CMAP,VDWAALS,EEL,1-4 VDW,1-4 EEL,EGB,ESURF,GGAS,GSOLV,TOTAL
1,738.35,1709.96,2151.08,228.06,124.42,-162.76,-1432.95,-3522.26,2182.11,2666.21,-1060.27,100.27,4682.2,-960.0,3722.2
52,713.72,1727.92,2132.87,228.2,127.22,-161.7,-1472.67,-3506.18,2197.66,2652.64,-1046.86,97.52,4639.69,-949.34,3690.34
103,714.47,1678.29,2166.64,217.85,121.9,-146.0,-1430.22,-3503.65,2191.24,2672.1,-1077.29,99.93,4682.62,-977.36,3705.27
154,653.21,1700.94,2177.43,214.69,129.53,-165.35,-1449.63,-3478.58,2234.54,2664.41,-1080.08,98.96,4681.18,-981.11,3700.07
205,737.1,1747.92,2177.17,223.42,117.65,-148.06,-1459.37,-3501.23,2140.09,2632.06,-1045.56,99.21,4666.74,-946.35,3720.4
256,694.54,1717.5,2176.8,219.89,130.89,-155.51,-1415.02,-3426.19,2201.57,2648.85,-1121.53,102.44,4793.32,-1019.08,3774.24
307,705.9,1685.4,2165.54,221.86,118.91,-160.03,-1423.72,-3501.4,2247.23,2655.46,-1062.1,100.83,4715.14,-961.27,3753.87
358,746.79,1696.0,2153.07,222.12,124.94,-165.75,-1444.48,-3466.38,2213.94,2631.03,-1076.13,98.11,4711.28,-978.02,3733.26
409,688.89,1676.95,2172.29,216.22,121.6,-169.0,-1434.73,-3481.91,2251.61,2654.59,-1075.64,100.41,4696.5,-975.23,3721.27
460,697.35,1722.76,2162.09,222.56,115.9,-151.43,-1451.81,-3517.72,2229.25,2649.76,-1038.06,96.49,4678.72,-941.57,3737.15
511,709.3,1733.74,2148.34,218.63,128.48,-160.78,-1466.56,-3471.46,2142.53,2627.08,-1065.62,98.48,4609.3,-967.14,3642.16
562,717.38,1713.16,2149.09,221.49,133.65,-151.38,-1478.66,-3475.42,2212.12,2653.48,-1076.89,96.51,4694.91,-980.38,3714.53
613,710.95,1678.72,2165.36,221.38,134.94,-152.53,-1433.23,-3497.45,2275.85,2662.53,-1062.8,97.63,4766.5,-965.17,3801.33
664,706.42,1710.25,2157.87,216.99,118.28,-156.85,-1460.79,-3465.22,2169.51,2632.4,-1072.06,98.68,4628.85,-973.37,3655.48
715,704.61,1686.44,2166.63,220.23,123.66,-161.75,-1440.59,-3470.62,2168.35,2637.76,-1071.47,97.47,4634.72,-974.0,3660.72
766,733.43,1737.77,2178.64,223.37,134.56,-170.15,-1470.12,-3478.83,2223.02,2635.35,-1062.45,97.26,4747.03,-965.19,3781.83
817,714.89,1749.17,2169.87,222.71,111.69,-158.04,-1449.2,-3401.77,2172.61,2631.53,-1124.14,99.89,4763.45,-1024.25,3739.2
868,700.85,1713.74,2141.48,215.92,124.11,-155.42,-1427.21,-3496.31,2212.29,2648.09,-1052.35,97.63,4677.55,-954.72,3722.84
919,729.49,1672.8,2152.36,214.31,118.62,-136.21,-1416.61,-3463.84,2217.62,2648.0,-1078.92,101.26,4736.54,-977.66,3758.88
970,692.12,1712.82,2138.26,224.42,107.53,-145.35,-1438.85,-3482.93,2216.25,2658.93,-1069.68,100.28,4683.2,-969.4,3713.8
1021,714.41,1686.43,2165.24,216.71,130.7,-162.36,-1460.0,-3477.3,2234.57,2654.43,-1066.63,95.53,4702.82,-971.1,3731.72
1072,698.21,1703.39,2160.57,229.49,115.18,-154.9,-1460.02,-3439.59,2182.7,2639.68,-1092.79,97.7,4674.7,-995.08,3679.62
1123,713.86,1660.49,2176.8,217.68,127.46,-161.36,-1448.55,-3479.44,2209.16,2645.47,-1067.24,95.35,4661.56,-971.89,3689.67
1174,742.71,1740.68,2193.17,230.34,110.95,-182.62,-1458.15,-3491.58,2193.77,2642.39,-1051.47,98.1,4721.67,-953.37,3768.31
1225,700.77,1772.51,2148.12,227.11,124.97,-167.34,-1417.69,-3537.36,2281.53,2666.03,-1032.67,97.8,4798.66,-934.86,3863.79
1276,764.61,1717.4,2177.87,220.19,120.48,-172.26,-1463.4,-3454.83,2158.7,2652.84,-1088.91,99.87,4721.62,-989.04,3732.58
1327,720.43,1708.28,2150.14,227.48,123.63,-156.44,-1431.98,-3469.29,2213.88,2634.76,-1073.56,98.28,4720.88,-975.29,3745.59
1378,692.82,1696.12,2157.31,220.08,137.07,-163.75,-1441.71,-3504.72,2214.17,2648.42,-1042.88,96.7,4655.83,-946.19,3709.64
1429,780.56,1718.2,2153.32,222.24,121.89,-158.13,-1456.61,-3459.44,2194.54,2622.91,-1070.83,101.15,4739.47,-969.67,3769.8
1480,741.56,1745.62,2154.16,236.4,111.33,-154.22,-1479.74,-3456.82,2170.56,2648.92,-1083.28,97.3,4717.79,-985.98,3731.81
1531,717.6,1783.73,2171.53,219.72,124.75,-154.32,-1459.43,-3479.33,2151.37,2626.19,-1060.15,98.38,4701.82,-961.77,3740.05
1582,732.82,1687.88,2141.59,214.81,122.96,-159.42,-1428.45,-3497.66,2242.62,2639.59,-1049.25,98.75,4696.74,-950.5,3746.24
1633,694.63,1728.29,2169.22,225.07,121.1,-163.64,-1430.04,-3498.24,2250.12,2656.45,-1062.6,96.06,4752.96,-966.54,3786.42
1684,736.04,1707.99,2152.26,222.12,112.69,-157.17,-1436.14,-3445.13,2164.9,2655.6,-1099.29,101.99,4713.17,-997.3,3715.87
1735,709.98,1686.68,2161.89,222.82,135.94,-152.5,-1402.89,-3506.92,2238.49,2655.2,-1055.24,99.72,4748.68,-955.53,3793.15
1786,699.54,1683.78,2151.25,218.78,125.76,-161.3,-1426.0,-3540.08,2230.96,2686.15,-1045.92,100.08,4668.84,-945.84,3723.0
1837,718.48,1659.53,2156.1,210.83,110.91,-144.55,-1418.07,-3521.9,2259.93,2669.15,-1048.71,100.69,4700.41,-948.03,3752.38
1888,726.96,1740.03,2171.69,217.84,122.23,-156.04,-1424.15,-3523.58,2200.99,2657.54,-1039.99,100.61,4733.51,-939.38,3794.12
1939,724.83,1720.85,2172.25,231.17,126.88,-164.38,-1462.56,-3509.63,2259.04,2645.86,-1042.1,99.38,4744.31,-942.72,3801.59
1990,711.09,1661.6,2173.64,220.02,112.43,-166.22,-1441.82,-3509.52,2217.66,2652.88,-1039.2,99.78,4631.77,-939.42,3692.35
2041,727.02,1705.99,2152.48,219.69,126.2,-147.31,-1418.01,-3499.28,2206.64,2661.87,-1063.89,99.97,4735.31,-963.93,3771.38
2092,705.31,1742.62,2180.44,215.67,115.36,-164.39,-1411.41,-3513.91,2179.24,2645.21,-1044.09,98.63,4694.14,-945.46,3748.67
2143,789.7,1741.17,2174.59,220.67,112.98,-160.95,-1405.18,-3530.29,2211.36,2646.11,-1025.48,97.98,4800.17,-927.5,3872.67
2194,720.25,1733.61,2174.31,224.4,121.03,-153.32,-1459.31,-3462.93,2184.2,2644.81,-1080.45,97.65,4727.07,-982.8,3744.27
2245,724.65,1706.53,2184.44,218.03,120.4,-156.35,-1433.74,-3487.95,2262.3,2651.22,-1055.45,99.04,4789.54,-956.41,3833.13
2296,682.2,1727.13,2124.94,218.83,133.02,-146.97,-1420.97,-3534.35,2184.96,2648.99,-1018.14,100.24,4617.78,-917.89,3699.89
2347,736.21,1692.52,2135.21,220.18,131.11,-149.82,-1412.17,-3553.84,2227.58,2662.54,-1010.26,100.76,4689.5,-909.49,3780.01
2398,701.51,1721.73,2128.6,222.13,114.6,-145.73,-1428.02,-3558.3,2258.4,2658.47,-992.18,101.34,4673.37,-890.84,3782.53
2449,720.7,1728.51,2151.73,227.36,128.5,-148.61,-1436.51,-3562.37,2189.0,2651.3,-1003.04,101.1,4649.63,-901.94,3747.69
2500,683.84,1732.72,2138.62,229.47,129.14,-145.39,-1411.67,-3539.97,2220.69,2651.58,-1018.3,103.01,4689.06,-915.29,3773.77
2551,723.88,1737.04,2138.07,227.36,126.82,-136.62,-1421.0,-3515.95,2198.55,2632.31,-1027.15,101.67,4710.45,-925.49,3784.96
2602,648.9,1691.77,2151.67,212.22,125.18,-151.28,-1411.8,-3540.71,2252.15,2663.88,-1020.28,101.39,4641.98,-918.89,3723.09
2653,709.64,1696.78,2143.14,216.27,116.93,-140.65,-1417.5,-3532.78,2185.96,2651.17,-1018.66,102.71,4628.95,-915.94,3713.01
2704,716.14,1705.04,2113.03,203.85,123.02,-148.71,-1401.91,-3501.52,2210.61,2632.74,-1042.82,101.34,4652.29,-941.48,3710.81
2755,724.74,1715.42,2152.93,212.68,132.16,-162.53,-1421.08,-3525.25,2209.48,2637.13,-1022.55,99.34,4675.68,-923.22,3752.46
2806,739.52,1712.99,2141.91,221.93,117.6,-156.7,-1420.13,-3519.28,2245.58,2652.75,-1029.44,100.4,4736.17,-929.03,3807.14
2857,702.48,1682.85,2139.42,213.32,126.35,-148.96,-1431.73,-3514.54,2217.11,2653.06,-1038.43,97.54,4639.36,-940.89,3698.47
2908,736.78,1743.97,2127.62,218.52,114.31,-146.16,-1437.76,-3467.16,2166.5,2645.06,-1083.84,99.54,4701.68,-984.3,3717.38
2959,715.85,1749.04,2182.61,230.79,130.5,-155.8,-1434.57,-3475.17,2258.95,2661.49,-1088.44,98.15,4863.69,-990.28,3873.41
3010,716.09,1710.49,2151.66,216.54,119.44,-141.76,-1436.74,-3508.45,2239.15,2663.77,-1058.24,98.39,4730.18,-959.85,3770.32
3061,697.83,1689.62,2145.62,227.47,112.82,-148.66,-1442.15,-3468.18,2173.08,2649.11,-1086.19,99.79,4636.55,-986.4,3650.16
3112,742.01,1726.68,2129.52,229.99,133.15,-146.57,-1429.33,-3440.25,2131.14,2625.96,-1092.3,100.91,4702.31,-991.4,3710.91
3163,740.13,1704.35,2156.18,221.94,114.82,-152.15,-1471.96,-3475.36,2174.87,2643.78,-1070.48,98.81,4656.62,-971.67,3684.94
3214,710.35,1739.99,2141.49,205.08,131.35,-139.32,-1432.0,-3473.02,2165.23,2640.79,-1068.79,101.26,4689.96,-967.52,3722.43
3265,730.42,1759.22,2121.38,232.08,127.52,-171.37,-1408.01,-3498.41,2174.27,2648.65,-1054.23,103.01,4715.75,-951.22,3764.53
3316,749.66,1709.73,2153.98,211.81,136.6,-153.83,-1378.37,-3501.67,2230.65,2645.13,-1061.26,102.34,4803.7,-958.92,3844.78
3367,741.21,1676.6,2150.44,214.88,122.45,-163.9,-1393.26,-3502.95,2212.84,2644.75,-1046.01,102.59,4703.06,-943.42,3759.63
3418,720.57,1744.86,2175.5,223.1,132.53,-171.22,-1398.91,-3511.7,2214.17,2629.76,-1033.94,99.51,4758.66,-934.43,3824.23
3469,702.72,1783.37,2149.26,232.01,134.36,-153.93,-1425.19,-3493.21,2245.48,2646.62,-1049.72,101.71,4821.5,-948.01,3873.49
3520,714.4,1726.45,2116.35,224.43,111.95,-125.98,-1441.37,-3478.61,2195.81,2638.89,-1056.57,99.37,4682.33,-957.2,3725.13
3571,727.16,1747.45,2159.88,228.41,120.44,-143.97,-1438.3,-3490.02,2200.39,2641.97,-1053.35,100.24,4753.43,-953.11,3800.32
3622,709.26,1655.59,2162.21,202.83,127.54,-132.71,-1409.47,-3500.92,2246.33,2646.51,-1058.77,104.08,4707.18,-954.68,3752.49
3673,696.35,1724.48,2178.62,211.62,126.26,-144.51,-1404.7,-3502.46,2200.22,2637.94,-1050.81,99.1,4723.81,-951.71,3772.1
3724,683.54,1673.93,2195.28,229.7,124.07,-155.53,-1442.17,-3517.42,2269.08,2674.39,-1045.64,101.64,4734.85,-944.0,3790.85
3775,762.74,1725.73,2162.89,212.65,117.59,-155.97,-1411.35,-3478.46,2109.78,2642.28,-1069.66,101.99,4687.87,-967.67,3720.2
3826,697.47,1712.2,2186.2,220.76,116.74,-166.12,-1413.9,-3515.72,2258.18,2671.75,-1047.57,103.16,4767.55,-944.4,3823.14
3877,735.25,1729.5,2157.23,227.16,124.94,-148.04,-1447.35,-3489.89,2237.03,2647.87,-1049.21,101.13,4773.69,-948.08,3825.61
3928,715.7,1702.97,2127.31,213.47,124.29,-141.05,-1409.1,-3464.24,2239.38,2675.91,-1099.67,106.12,4784.64,-993.56,3791.08
3979,732.87,1734.24,2149.57,226.04,117.52,-160.84,-1397.87,-3489.33,2205.03,2644.79,-1064.53,103.15,4762.02,-961.38,3800.64
4030,712.72,1737.22,2119.32,213.77,121.48,-158.42,-1404.9,-3455.23,2223.06,2632.55,-1074.1,105.66,4741.58,-968.45,3773.13
4081,699.82,1730.6,2123.6,210.22,118.82,-160.22,-1429.63,-3541.14,2258.56,2660.92,-1014.52,101.75,4671.55,-912.78,3758.77
4132,740.37,1707.53,2173.09,229.42,118.46,-151.93,-1437.93,-3494.22,2281.85,2631.43,-1034.89,100.56,4798.08,-934.32,3863.76
4183,713.22,1703.23,2110.49,219.05,116.11,-140.43,-1433.69,-3487.2,2173.4,2658.7,-1061.15,101.81,4632.89,-959.35,3673.54
4234,741.19,1701.82,2131.17,220.28,124.94,-154.48,-1427.39,-3518.99,2173.17,2644.92,-1028.2,100.79,4636.63,-927.42,3709.21
4285,739.37,1722.25,2147.07,226.07,112.8,-153.68,-1440.09,-3491.92,2220.06,2652.63,-1060.88,104.37,4734.56,-956.51,3778.04
4336,727.37,1714.4,2142.72,224.87,125.68,-130.58,-1445.55,-3439.23,2238.25,2642.64,-1090.45,104.05,4800.57,-986.4,3814.16
4387,708.23,1731.66,2129.68,221.92,121.85,-140.32,-1427.25,-3444.83,2165.42,2654.99,-1092.96,104.4,4721.35,-988.55,3732.8
4438,772.35,1733.3,2142.72,233.72,130.18,-154.21,-1399.18,-3449.26,2210.56,2638.91,-1093.18,106.99,4859.09,-986.19,3872.9
4489,726.24,1655.95,2160.08,219.2,116.11,-151.23,-1440.22,-3473.02,2251.36,2641.88,-1054.19,104.06,4706.35,-950.13,3756.22
4540,696.84,1647.59,2136.15,214.79,127.27,-152.59,-1415.69,-3431.27,2252.78,2626.34,-1092.75,103.57,4702.21,-989.17,3713.04
4591,738.59,1722.39,2128.68,236.71,112.22,-152.19,-1430.37,-3451.59,2206.38,2643.18,-1086.57,102.9,4754.01,-983.67,3770.34
4642,684.2,1708.01,2167.71,223.67,114.01,-145.88,-1440.87,-3446.11,2218.0,2636.72,-1091.26,101.58,4719.45,-989.68,3729.77
4693,710.64,1707.98,2155.86,217.69,120.68,-142.6,-1458.24,-3448.22,2271.99,2660.53,-1097.08,103.27,4796.32,-993.81,3802.5
4744,696.95,1750.26,2138.48,229.47,112.78,-150.32,-1478.99,-3443.83,2224.64,2643.52,-1085.92,100.09,4722.97,-985.83,3737.14
4795,694.83,1738.63,2119.59,217.31,126.05,-149.89,-1419.74,-3418.77,2207.46,2616.63,-1096.2,103.88,4732.09,-992.32,3739.77
4846,697.16,1684.97,2166.27,223.65,108.57,-164.08,-1436.89,-3437.58,2157.27,2627.43,-1091.78,101.84,4626.77,-989.94,3636.84
4897,698.62,1732.23,2166.65,210.91,113.11,-133.8,-1429.45,-3476.24,2187.36,2631.51,-1060.98,101.33,4700.89,-959.65,3741.24
4948,683.29,1743.26,2152.5,217.83,123.4,-147.57,-1453.88,-3471.26,2162.78,2622.48,-1052.24,102.23,4632.84,-950.02,3682.82
4999,721.22,1739.19,2155.89,217.21,111.22,-160.16,-1428.54,-3487.8,2149.31,2623.24,-1039.39,102.57,4640.78,-936.82,3703.96
5050,739.09,1650.48,2162.21,225.03,120.37,-154.98,-1426.91,-3459.41,2205.15,2626.3,-1067.55,99.92,4687.34,-967.62,3719.71
5101,725.61,1676.2,2159.51,219.62,113.56,-135.08,-1428.11,-3407.35,2216.92,2623.49,-1110.96,101.19,4764.36,-1009.77,3754.6
5152,674.53,1715.13,2137.14,225.38,129.28,-135.66,-1451.53,-3472.49,2308.04,2653.7,-1077.68,100.6,4783.5,-977.08,3806.42
5203,717.47,1670.93,2172.34,222.84,113.5,-140.63,-1434.85,-3440.05,2219.74,2649.18,-1105.64,100.58,4750.47,-1005.07,3745.41
5254,710.45,1786.15,2147.07,223.24,100.63,-131.0,-1436.92,-3446.4,2156.87,2633.11,-1092.98,101.81,4743.21,-991.17,3752.04
5305,749.67,1713.34,2149.98,219.45,121.3,-128.0,-1423.76,-3445.55,2247.27,2627.12,-1079.16,101.07,4830.82,-978.09,3852.73
5356,692.32,1724.18,2155.55,211.11,123.46,-140.02,-1444.94,-3433.36,2181.75,2632.23,-1095.33,101.59,4702.27,-993.74,3708.54
5407,670.07,1741.81,2174.66,210.9,119.45,-124.53,-1447.29,-3479.6,2261.77,2651.35,-1062.02,100.87,4778.59,-961.14,3817.44
5458,690.94,1722.52,2134.69,215.21,118.67,-137.35,-1444.7,-3444.36,2208.32,2623.45,-1082.36,99.19,4687.38,-983.17,3704.21
5509,704.31,1714.41,2141.14,212.39,119.19,-156.33,-1440.11,-3463.23,2144.45,2636.82,-1079.49,102.73,4613.03,-976.76,3636.26
5560,723.5,1672.85,2126.95,224.81,118.15,-151.13,-1445.54,-3468.38,2205.57,2628.95,-1067.6,100.77,4635.73,-966.83,3668.91
5611,700.4,1701.37,2119.35,225.59,120.44,-152.37,-1435.19,-3448.12,2188.06,2641.15,-1084.54,103.35,4660.68,-981.19,3679.5
5662,714.37,1720.71,2145.95,221.49,117.52,-144.93,-1445.0,-3381.03,2261.34,2634.99,-1140.88,102.74,4845.39,-1038.14,3807.26
5713,726.72,1732.26,2195.52,214.03,130.04,-137.11,-1456.0,-3485.53,2205.39,2638.41,-1050.33,103.09,4763.72,-947.24,3816.49
5764,719.81,1702.31,2152.28,224.15,108.78,-142.34,-1428.54,-3495.41,2256.09,2660.73,-1071.81,102.89,4757.85,-968.93,3788.92
5815,731.77,1686.02,2130.7,228.27,122.19,-140.05,-1445.97,-3459.2,2172.27,2635.19,-1079.65,100.68,4661.18,-978.97,3682.21
5866,693.53,1707.45,2138.57,217.21,107.73,-136.67,-1412.51,-3425.33,2237.13,2629.99,-1110.15,103.36,4757.11,-1006.79,3750.31
5917,733.55,1805.69,2181.29,227.2,113.36,-162.96,-1449.15,-3464.09,2213.01,2631.54,-1073.35,101.07,4829.42,-972.28,3857.15
5968,719.39,1693.98,2163.5,222.24,112.76,-144.42,-1447.31,-3431.89,2194.45,2624.32,-1097.91,103.68,4707.0,-994.23,3712.78
6019,681.39,1614.51,2140.86,214.91,124.0,-142.44,-1451.86,-3410.78,2253.77,2644.33,-1117.7,103.68,4668.68,-1014.01,3654.67
6070,730.71,1722.45,2137.38,218.99,120.47,-148.65,-1436.9,-3389.31,2224.37,2615.42,-1123.04,102.73,4794.94,-1020.32,3774.63
6121,746.68,1676.48,2139.34,229.58,113.28,-129.5,-1402.83,-3460.0,2202.86,2638.97,-1091.63,103.09,4754.87,-988.54,3766.33
6172,709.14,1681.2,2145.69,226.47,103.77,-116.71,-1438.08,-3435.31,2222.96,2633.99,-1098.73,104.52,4733.12,-994.21,3738.91
6223,713.21,1746.47,2143.12,220.61,117.34,-133.76,-1426.79,-3484.87,2187.5,2620.85,-1043.66,101.54,4703.67,-942.13,3761.54
6274,708.36,1775.93,2141.76,220.76,114.78,-125.21,-1399.63,-3441.92,2202.29,2630.38,-1102.29,106.56,4827.51,-995.73,3831.79
6325,761.79,1654.27,2164.02,221.53,124.7,-144.23,-1409.14,-3433.12,2204.45,2636.0,-1097.15,102.22,4780.27,-994.93,3785.34
6376,727.33,1692.51,2120.16,216.94,131.83,-146.28,-1406.72,-3421.11,2148.26,2637.26,-1110.28,104.07,4700.18,-1006.21,3693.97
6427,688.88,1669.63,2134.23,216.05,123.66,-143.51,-1443.36,-3467.17,2201.18,2636.18,-1058.96,99.8,4615.76,-959.17,3656.59
6478,736.03,1722.02,2144.07,222.65,129.53,-147.39,-1395.99,-3474.84,2251.77,2626.95,-1071.89,101.65,4814.81,-970.23,3844.58
6529,727.7,1723.28,2137.01,230.46,115.91,-129.73,-1396.49,-3447.06,2203.98,2639.89,-1093.69,105.02,4804.95,-988.67,3816.29
6580,737.54,1760.21,2128.2,224.93,129.6,-131.61,-1415.1,-3446.96,2163.04,2611.19,-1078.88,102.6,4761.03,-976.29,3784.75
6631,691.33,1737.66,2148.0,226.9,123.63,-146.28,-1403.47,-3466.27,2205.04,2624.76,-1062.42,100.16,4741.28,-962.26,3779.02
6682,702.27,1672.83,2139.53,208.84,133.36,-143.19,-1420.94,-3445.75,2211.92,2628.73,-1077.69,101.18,4687.6,-976.51,3711.09
6733,723.71,1691.87,2128.01,220.58,118.17,-144.91,-1386.09,-3462.64,2200.01,2625.01,-1072.74,103.42,4713.71,-969.32,3744.38
6784,774.95,1665.88,2160.27,218.18,128.82,-143.47,-1416.43,-3503.65,2179.73,2621.98,-1034.07,101.88,4686.28,-932.19,3754.09
6835,719.83,1708.5,2151.98,225.87,124.61,-123.81,-1395.21,-3497.68,2154.38,2635.91,-1043.22,101.89,4704.38,-941.33,3763.05
6886,759.66,1718.82,2130.4,219.39,103.91,-144.66,-1442.99,-3410.56,2138.42,2634.74,-1121.07,101.37,4707.14,-1019.7,3687.45
6937,720.8,1723.72,2137.63,231.78,119.44,-150.78,-1464.8,-3464.06,2178.44,2641.83,-1066.72,100.41,4674.0,-966.31,3707.69
6988,741.11,1705.61,2149.53,233.64,117.32,-142.38,-1448.97,-3479.4,2223.21,2645.68,-1064.67,100.66,4745.34,-964.02,3781.32
7039,709.59,1700.65,2145.86,213.99,116.75,-154.55,-1423.24,-3521.98,2191.18,2653.59,-1034.53,101.54,4631.85,-932.99,3698.86
7090,720.19,1707.08,2164.95,229.84,123.5,-150.06,-1413.28,-3487.15,2228.47,2633.66,-1046.46,100.17,4757.19,-946.29,3810.91
7141,716.53,1742.68,2134.42,222.15,122.07,-147.4,-1458.77,-3488.83,2174.79,2642.16,-1061.72,99.17,4659.8,-962.54,3697.26
7192,750.83,1758.91,2167.57,223.48,121.66,-154.61,-1411.22,-3489.63,2128.66,2642.96,-1065.61,100.59,4738.61,-965.02,3773.59
7243,719.43,1671.66,2170.98,207.34,135.04,-155.02,-1403.66,-3504.5,2215.28,2648.4,-1050.64,99.27,4704.96,-951.38,3753.59
7294,740.96,1778.99,2183.48,228.22,130.04,-161.3,-1407.4,-3521.94,2196.8,2629.61,-1028.3,98.6,4797.45,-929.7,3867.74
7345,718.99,1759.45,2154.02,228.81,125.22,-151.72,-1443.85,-3519.82,2183.64,2642.37,-1041.14,97.95,4697.11,-943.19,3753.91
7396,732.39,1772.3,2145.34,222.4,110.09,-152.64,-1444.63,-3487.34,2141.44,2635.6,-1053.02,97.74,4674.96,-955.27,3719.68
7447,717.42,1706.38,2164.43,213.64,118.4,-147.12,-1432.29,-3523.17,2159.09,2639.72,-1029.65,96.36,4616.49,-933.28,3683.2
7498,743.09,1693.74,2141.14,213.76,123.43,-162.38,-1405.95,-3510.86,2174.92,2657.85,-1057.82,98.16,4668.74,-959.66,3709.08
7549,704.12,1701.7,2135.36,222.92,116.84,-128.64,-1423.55,-3476.26,2195.44,2661.82,-1082.73,99.79,4709.76,-982.94,3726.82
7600,719.72,1742.44,2124.38,213.0,125.61,-133.74,-1400.83,-3505.96,2182.05,2658.67,-1065.42,100.38,4725.34,-965.03,3760.31
7651,693.23,1718.79,2143.55,218.36,109.08,-149.31,-1453.33,-3499.26,2251.71,2653.75,-1051.56,99.08,4686.56,-952.47,3734.09
7702,701.0,1690.59,2144.95,213.22,127.31,-154.4,-1432.94,-3468.07,2253.18,2649.77,-1082.4,100.14,4724.61,-982.26,3742.36
7753,744.39,1750.61,2144.18,225.95,113.94,-151.98,-1460.64,-3461.98,2210.65,2647.67,-1082.48,99.66,4762.8,-982.82,3779.98
7804,697.94,1740.42,2171.96,221.79,136.3,-145.35,-1446.63,-3483.34,2229.4,2630.57,-1055.51,98.16,4753.05,-957.35,3795.7
7855,733.8,1680.51,2155.33,216.26,122.06,-141.07,-1465.08,-3483.09,2182.11,2648.94,-1068.84,97.53,4649.77,-971.31,3678.46
7906,703.2,1770.3,2178.19,221.32,122.67,-146.95,-1477.91,-3386.62,2176.75,2639.26,-1145.09,100.14,4800.2,-1044.95,3755.25
7957,744.98,1713.98,2156.89,218.98,116.56,-151.64,-1436.74,-3420.84,2238.87,2656.91,-1127.24,97.89,4837.94,-1029.35,3808.59
8008,752.82,1689.55,2114.27,218.0,105.12,-134.9,-1427.57,-3431.65,2202.94,2644.82,-1112.62,100.48,4733.39,-1012.14,3721.25
8059,707.38,1716.13,2166.5,224.85,128.99,-160.68,-1426.36,-3462.39,2244.55,2656.29,-1085.65,100.95,4795.26,-984.69,3810.57
8110,715.87,1710.73,2156.0,220.44,121.22,-142.78,-1442.32,-3491.35,2151.79,2628.48,-1042.67,98.71,4628.07,-943.96,3684.1
8161,702.04,1673.65,2142.06,220.31,118.92,-137.51,-1436.57,-3470.13,2234.33,2639.69,-1065.83,100.47,4686.79,-965.36,3721.43
8212,702.76,1736.78,2181.7,214.8,129.26,-149.91,-1471.75,-3469.64,2210.74,2635.98,-1056.89,98.44,4720.73,-958.44,3762.29
8263,713.36,1698.08,2153.54,221.01,119.99,-127.85,-1440.95,-3496.16,2205.53,2632.08,-1041.67,96.7,4678.62,-944.97,3733.65
8314,679.06,1652.22,2158.09,212.87,118.59,-124.47,-1451.75,-3499.42,2238.47,2652.46,-1045.25,97.68,4636.12,-947.56,3688.56
8365,723.69,1689.36,2154.14,217.92,120.93,-150.82,-1436.17,-3493.42,2213.85,2631.12,-1036.71,98.88,4670.6,-937.83,3732.76
8416,695.0,1717.41,2148.1,221.35,120.88,-152.25,-1470.09,-3420.81,2174.14,2605.67,-1080.37,100.69,4639.4,-979.67,3659.73
8467,702.57,1722.58,2167.33,225.19,112.89,-143.01,-1451.36,-3470.2,2177.19,2632.05,-1065.89,98.06,4675.24,-967.83,3707.4
8518,750.17,1705.48,2158.41,220.84,118.09,-133.55,-1440.7,-3513.54,2128.49,2616.92,-1024.6,100.75,4610.61,-923.86,3686.75
8569,745.95,1712.47,2153.33,228.99,111.38,-146.48,-1447.38,-3510.6,2120.74,2622.58,-1022.93,96.91,4590.99,-926.02,3664.96
8620,693.53,1711.49,2154.47,219.52,127.66,-133.55,-1409.96,-3496.42,2197.52,2624.36,-1031.92,98.91,4688.61,-933.01,3755.6
8671,730.07,1696.25,2126.58,223.91,119.56,-137.32,-1424.67,-3506.32,2129.11,2637.33,-1036.08,98.18,4594.5,-937.9,3656.6
8722,701.51,1699.96,2168.48,207.65,121.83,-156.72,-1445.02,-3500.2,2180.63,2655.68,-1053.84,98.53,4633.8,-955.31,3678.5
8773,727.32,1717.65,2151.26,220.97,121.48,-148.43,-1452.43,-3526.25,2176.03,2634.26,-1021.03,95.67,4621.85,-925.36,3696.49
8824,717.36,1687.45,2144.03,211.82,115.02,-132.14,-1445.91,-3497.86,2199.75,2640.73,-1045.43,98.68,4640.25,-946.75,3693.5
8875,713.89,1740.73,2167.75,217.05,119.18,-151.27,-1481.57,-3481.61,2197.43,2619.16,-1040.71,96.24,4660.75,-944.48,3716.28
8926,715.61,1721.16,2175.99,222.88,113.73,-145.34,-1481.24,-3501.95,2185.11,2619.28,-1024.94,95.2,4625.23,-929.74,3695.49
8977,728.67,1686.83,2148.17,220.72,121.22,-143.07,-1430.53,-3505.44,2160.82,2632.96,-1031.04,99.01,4620.36,-932.03,3688.33
9028,733.99,1703.76,2164.25,221.12,123.17,-157.03,-1398.32,-3544.3,2215.04,2640.08,-1012.31,98.23,4701.77,-914.08,3787.68
9079,686.97,1701.31,2138.63,210.84,128.26,-143.11,-1415.41,-3517.5,2166.8,2625.94,-1027.69,97.71,4582.73,-929.98,3652.75
9130,733.24,1752.45,2140.95,217.52,121.18,-140.05,-1427.26,-3461.06,2140.48,2605.06,-1051.82,98.79,4682.5,-953.03,3729.47
